,0
0,0.9564788325915525
1,0.9526414768917739
2,0.9563579686448707
3,0.9577479040317134
4,0.9212479620296212
5,0.9224867428757371
6,0.9294664865818729
7,0.9238464622759095
8,0.9251456750953664
9,0.9231515691898626
10,0.9261428026554928
11,0.9300708063152829
12,0.9112467688711845
13,0.9286204389550989
14,0.9220033616963836
15,0.9369598274540327
16,0.94671936732648
17,0.9553306997054483
18,0.957868693371021
19,0.9374734992274312
20,0.9472027485058334
21,0.9615851851241175
22,0.9618269130174817
23,0.9381382509341822
24,0.9671447774567401
25,0.9136639731974499
26,0.8974384359996399
27,0.8967434683062183
28,0.9099172654576828
29,0.9038440013516618
30,0.9030584603056033
31,0.9050526408184816
32,0.9019662083429958
33,0.8792301332172492
34,0.8518185631466466
35,0.8540188092278802
36,0.8557301531840478
37,0.8499544232875131
38,0.8924316843120257
39,0.8798108024129443
40,0.8962515818861725
41,0.9146787827053315
42,0.9199961248929687
43,0.9197516365267484
44,0.9173985945425489
45,0.884944685066698
46,0.8930734569474321
47,0.8987574943807124
48,0.9404401868668526
49,0.932769802695016
50,0.953825122888138
51,0.9540390222308153
52,0.9125702290873523
53,0.9133036195786388
54,0.926719144623467
55,0.9342366582849633
56,0.9324947999126272
57,0.9603647576921275
58,0.9527555515673769
59,0.9535195310822062
60,0.9687380179390821
61,0.9843843034813125
62,0.9922379979722835
63,1.0
64,0.987990301712782
65,0.9858816734874283
66,0.9874402215406299
67,0.9673016767653033
68,0.952602755664411
69,0.9539168153513924
70,0.9445962652704742
71,0.9435877973894244
72,0.9493023492388732
73,0.9427321254113408
74,0.9268413515028899
75,0.9283693105325488
76,0.9744219807649879
77,0.96274838869987
78,0.9621983085277179
79,0.9579200232446736
80,0.9593257753949094
81,0.9496385300683479
82,0.9799837367114705
83,0.977080614555119
84,0.9635429572382423
85,0.9694103049906571
86,0.9564531676547263
87,0.8873894195141518
88,0.886075434434545
89,0.8783744612391653
90,0.9124479476005549
91,0.9179486001073265
92,0.9240604362259612
93,0.8913927020148076
94,0.8961293750067496
95,0.9276053310177192
96,0.9145870902420772
97,0.926719144623467
98,0.9093309261015261
99,0.9166346150277194
